"","mirnaID","accession","species","maturemirna"
"1271","hsa-miR-379-5p","MIMAT0000733","Homo sapiens","miR-379-5p"
"1272","hsa-miR-379-3p","MIMAT0004690","Homo sapiens","miR-379-3p"
"1273","hsa-miR-380-5p","MIMAT0000734","Homo sapiens","miR-380-5p"
"1274","hsa-miR-380-3p","MIMAT0000735","Homo sapiens","miR-380-3p"
"1275","hsa-miR-381-5p","MIMAT0022862","Homo sapiens","miR-381-5p"
"1276","hsa-miR-381-3p","MIMAT0000736","Homo sapiens","miR-381-3p"
"1277","hsa-miR-382-5p","MIMAT0000737","Homo sapiens","miR-382-5p"
"1278","hsa-miR-382-3p","MIMAT0022697","Homo sapiens","miR-382-3p"
"1279","hsa-miR-383-5p","MIMAT0000738","Homo sapiens","miR-383-5p"
"1280","hsa-miR-383-3p","MIMAT0026485","Homo sapiens","miR-383-3p"
"1301","hsa-miR-340-5p","MIMAT0004692","Homo sapiens","miR-340-5p"
"1302","hsa-miR-340-3p","MIMAT0000750","Homo sapiens","miR-340-3p"
"1303","hsa-miR-330-5p","MIMAT0004693","Homo sapiens","miR-330-5p"
"1304","hsa-miR-330-3p","MIMAT0000751","Homo sapiens","miR-330-3p"
"1305","hsa-miR-328-5p","MIMAT0026486","Homo sapiens","miR-328-5p"
"1306","hsa-miR-328-3p","MIMAT0000752","Homo sapiens","miR-328-3p"
"1307","hsa-miR-342-5p","MIMAT0004694","Homo sapiens","miR-342-5p"
"1308","hsa-miR-342-3p","MIMAT0000753","Homo sapiens","miR-342-3p"
"1309","hsa-miR-337-5p","MIMAT0004695","Homo sapiens","miR-337-5p"
"1310","hsa-miR-337-3p","MIMAT0000754","Homo sapiens","miR-337-3p"
"1311","hsa-miR-323a-5p","MIMAT0004696","Homo sapiens","miR-323a-5p"
"1312","hsa-miR-323a-3p","MIMAT0000755","Homo sapiens","miR-323a-3p"
"1313","hsa-miR-326","MIMAT0000756","Homo sapiens","miR-326"
"1314","hsa-miR-151a-5p","MIMAT0004697","Homo sapiens","miR-151a-5p"
"1315","hsa-miR-151a-3p","MIMAT0000757","Homo sapiens","miR-151a-3p"
"1316","hsa-miR-135b-5p","MIMAT0000758","Homo sapiens","miR-135b-5p"
"1317","hsa-miR-135b-3p","MIMAT0004698","Homo sapiens","miR-135b-3p"
"1318","hsa-miR-148b-5p","MIMAT0004699","Homo sapiens","miR-148b-5p"
"1319","hsa-miR-148b-3p","MIMAT0000759","Homo sapiens","miR-148b-3p"
"1320","hsa-miR-331-5p","MIMAT0004700","Homo sapiens","miR-331-5p"
"1321","hsa-miR-331-3p","MIMAT0000760","Homo sapiens","miR-331-3p"
"1322","hsa-miR-324-5p","MIMAT0000761","Homo sapiens","miR-324-5p"
"1323","hsa-miR-324-3p","MIMAT0000762","Homo sapiens","miR-324-3p"
"1324","hsa-miR-338-5p","MIMAT0004701","Homo sapiens","miR-338-5p"
"1325","hsa-miR-338-3p","MIMAT0000763","Homo sapiens","miR-338-3p"
"1326","hsa-miR-339-5p","MIMAT0000764","Homo sapiens","miR-339-5p"
"1327","hsa-miR-339-3p","MIMAT0004702","Homo sapiens","miR-339-3p"
"1328","hsa-miR-335-5p","MIMAT0000765","Homo sapiens","miR-335-5p"
"1329","hsa-miR-335-3p","MIMAT0004703","Homo sapiens","miR-335-3p"
"1337","hsa-miR-133b","MIMAT0000770","Homo sapiens","miR-133b"
"1339","hsa-miR-325","MIMAT0000771","Homo sapiens","miR-325"
"1340","hsa-miR-345-5p","MIMAT0000772","Homo sapiens","miR-345-5p"
"1341","hsa-miR-345-3p","MIMAT0022698","Homo sapiens","miR-345-3p"
"1342","hsa-miR-346","MIMAT0000773","Homo sapiens","miR-346"
"1813","hsa-miR-384","MIMAT0001075","Homo sapiens","miR-384"
"1821","hsa-miR-196b-5p","MIMAT0001080","Homo sapiens","miR-196b-5p"
"1822","hsa-miR-196b-3p","MIMAT0009201","Homo sapiens","miR-196b-3p"
"2180","hsa-miR-422a","MIMAT0001339","Homo sapiens","miR-422a"
"2181","hsa-miR-423-5p","MIMAT0004748","Homo sapiens","miR-423-5p"
"2182","hsa-miR-423-3p","MIMAT0001340","Homo sapiens","miR-423-3p"
"2183","hsa-miR-424-5p","MIMAT0001341","Homo sapiens","miR-424-5p"
"2184","hsa-miR-424-3p","MIMAT0004749","Homo sapiens","miR-424-3p"
"2187","hsa-miR-425-5p","MIMAT0003393","Homo sapiens","miR-425-5p"
"2188","hsa-miR-425-3p","MIMAT0001343","Homo sapiens","miR-425-3p"
"2293","hsa-miR-18b-5p","MIMAT0001412","Homo sapiens","miR-18b-5p"
"2294","hsa-miR-18b-3p","MIMAT0004751","Homo sapiens","miR-18b-3p"
"2295","hsa-miR-20b-5p","MIMAT0001413","Homo sapiens","miR-20b-5p"
"2296","hsa-miR-20b-3p","MIMAT0004752","Homo sapiens","miR-20b-3p"
"2414","hsa-miR-448","MIMAT0001532","Homo sapiens","miR-448"
"2420","hsa-miR-429","MIMAT0001536","Homo sapiens","miR-429"
"2427","hsa-miR-449a","MIMAT0001541","Homo sapiens","miR-449a"
"2433","hsa-miR-450a-5p","MIMAT0001545","Homo sapiens","miR-450a-5p"
"2434","hsa-miR-450a-1-3p","MIMAT0022700","Homo sapiens","miR-450a-1-3p"
"2497","hsa-miR-431-5p","MIMAT0001625","Homo sapiens","miR-431-5p"
"2498","hsa-miR-431-3p","MIMAT0004757","Homo sapiens","miR-431-3p"
"2500","hsa-miR-433-5p","MIMAT0026554","Homo sapiens","miR-433-5p"
"2501","hsa-miR-433-3p","MIMAT0001627","Homo sapiens","miR-433-3p"
"2504","hsa-miR-329-5p","MIMAT0026555","Homo sapiens","miR-329-5p"
"2505","hsa-miR-329-3p","MIMAT0001629","Homo sapiens","miR-329-3p"
"2506","hsa-miR-451a","MIMAT0001631","Homo sapiens","miR-451a"
"2511","hsa-miR-452-5p","MIMAT0001635","Homo sapiens","miR-452-5p"
"2512","hsa-miR-452-3p","MIMAT0001636","Homo sapiens","miR-452-3p"
"2515","hsa-miR-409-5p","MIMAT0001638","Homo sapiens","miR-409-5p"
"2516","hsa-miR-409-3p","MIMAT0001639","Homo sapiens","miR-409-3p"
"3230","hsa-miR-412-5p","MIMAT0026557","Homo sapiens","miR-412-5p"
"3231","hsa-miR-412-3p","MIMAT0002170","Homo sapiens","miR-412-3p"
"3232","hsa-miR-410-5p","MIMAT0026558","Homo sapiens","miR-410-5p"
"3233","hsa-miR-410-3p","MIMAT0002171","Homo sapiens","miR-410-3p"
"3234","hsa-miR-376b-5p","MIMAT0022923","Homo sapiens","miR-376b-5p"
"3235","hsa-miR-376b-3p","MIMAT0002172","Homo sapiens","miR-376b-3p"
"3236","hsa-miR-483-5p","MIMAT0004761","Homo sapiens","miR-483-5p"
"3237","hsa-miR-483-3p","MIMAT0002173","Homo sapiens","miR-483-3p"
"3238","hsa-miR-484","MIMAT0002174","Homo sapiens","miR-484"
"3239","hsa-miR-485-5p","MIMAT0002175","Homo sapiens","miR-485-5p"
"3240","hsa-miR-485-3p","MIMAT0002176","Homo sapiens","miR-485-3p"
"3241","hsa-miR-486-5p","MIMAT0002177","Homo sapiens","miR-486-5p"
"3242","hsa-miR-486-3p","MIMAT0004762","Homo sapiens","miR-486-3p"
"3243","hsa-miR-487a-5p","MIMAT0026559","Homo sapiens","miR-487a-5p"
"3244","hsa-miR-487a-3p","MIMAT0002178","Homo sapiens","miR-487a-3p"
"3919","hsa-miR-488-5p","MIMAT0002804","Homo sapiens","miR-488-5p"
"3920","hsa-miR-488-3p","MIMAT0004763","Homo sapiens","miR-488-3p"
"3921","hsa-miR-489-5p","MIMAT0026605","Homo sapiens","miR-489-5p"
"3922","hsa-miR-489-3p","MIMAT0002805","Homo sapiens","miR-489-3p"
"3923","hsa-miR-490-5p","MIMAT0004764","Homo sapiens","miR-490-5p"
"3924","hsa-miR-490-3p","MIMAT0002806","Homo sapiens","miR-490-3p"
"3925","hsa-miR-491-5p","MIMAT0002807","Homo sapiens","miR-491-5p"
"3926","hsa-miR-491-3p","MIMAT0004765","Homo sapiens","miR-491-3p"
"3927","hsa-miR-511-5p","MIMAT0002808","Homo sapiens","miR-511-5p"
"3928","hsa-miR-511-3p","MIMAT0026606","Homo sapiens","miR-511-3p"
"3929","hsa-miR-146b-5p","MIMAT0002809","Homo sapiens","miR-146b-5p"
"3930","hsa-miR-146b-3p","MIMAT0004766","Homo sapiens","miR-146b-3p"
"3931","hsa-miR-202-5p","MIMAT0002810","Homo sapiens","miR-202-5p"
"3932","hsa-miR-202-3p","MIMAT0002811","Homo sapiens","miR-202-3p"
"3933","hsa-miR-492","MIMAT0002812","Homo sapiens","miR-492"
"3934","hsa-miR-493-5p","MIMAT0002813","Homo sapiens","miR-493-5p"
"3935","hsa-miR-493-3p","MIMAT0003161","Homo sapiens","miR-493-3p"
"3936","hsa-miR-432-5p","MIMAT0002814","Homo sapiens","miR-432-5p"
"3937","hsa-miR-432-3p","MIMAT0002815","Homo sapiens","miR-432-3p"
"3938","hsa-miR-494-5p","MIMAT0026607","Homo sapiens","miR-494-5p"
"3939","hsa-miR-494-3p","MIMAT0002816","Homo sapiens","miR-494-3p"
"3940","hsa-miR-495-5p","MIMAT0022924","Homo sapiens","miR-495-5p"
"3941","hsa-miR-495-3p","MIMAT0002817","Homo sapiens","miR-495-3p"
"3942","hsa-miR-496","MIMAT0002818","Homo sapiens","miR-496"
"3943","hsa-miR-193b-5p","MIMAT0004767","Homo sapiens","miR-193b-5p"
"3944","hsa-miR-193b-3p","MIMAT0002819","Homo sapiens","miR-193b-3p"
"3945","hsa-miR-497-5p","MIMAT0002820","Homo sapiens","miR-497-5p"
"3946","hsa-miR-497-3p","MIMAT0004768","Homo sapiens","miR-497-3p"
"3947","hsa-miR-181d-5p","MIMAT0002821","Homo sapiens","miR-181d-5p"
"3948","hsa-miR-181d-3p","MIMAT0026608","Homo sapiens","miR-181d-3p"
"3949","hsa-miR-512-5p","MIMAT0002822","Homo sapiens","miR-512-5p"
"3950","hsa-miR-512-3p","MIMAT0002823","Homo sapiens","miR-512-3p"
"3951","hsa-miR-498","MIMAT0002824","Homo sapiens","miR-498"
"3952","hsa-miR-520e","MIMAT0002825","Homo sapiens","miR-520e"
"3953","hsa-miR-515-5p","MIMAT0002826","Homo sapiens","miR-515-5p"
"3954","hsa-miR-515-3p","MIMAT0002827","Homo sapiens","miR-515-3p"
"3955","hsa-miR-519e-5p","MIMAT0002828","Homo sapiens","miR-519e-5p"
"3956","hsa-miR-519e-3p","MIMAT0002829","Homo sapiens","miR-519e-3p"
"3957","hsa-miR-520f-5p","MIMAT0026609","Homo sapiens","miR-520f-5p"
"3958","hsa-miR-520f-3p","MIMAT0002830","Homo sapiens","miR-520f-3p"
"3959","hsa-miR-519c-5p","MIMAT0002831","Homo sapiens","miR-519c-5p"
"3960","hsa-miR-519c-3p","MIMAT0002832","Homo sapiens","miR-519c-3p"
"3961","hsa-miR-520a-5p","MIMAT0002833","Homo sapiens","miR-520a-5p"
"3962","hsa-miR-520a-3p","MIMAT0002834","Homo sapiens","miR-520a-3p"
"3963","hsa-miR-526b-5p","MIMAT0002835","Homo sapiens","miR-526b-5p"
"3964","hsa-miR-526b-3p","MIMAT0002836","Homo sapiens","miR-526b-3p"
"3965","hsa-miR-519b-5p","MIMAT0005454","Homo sapiens","miR-519b-5p"
"3966","hsa-miR-519b-3p","MIMAT0002837","Homo sapiens","miR-519b-3p"
"3967","hsa-miR-525-5p","MIMAT0002838","Homo sapiens","miR-525-5p"
"3968","hsa-miR-525-3p","MIMAT0002839","Homo sapiens","miR-525-3p"
"3969","hsa-miR-523-5p","MIMAT0005449","Homo sapiens","miR-523-5p"
"3970","hsa-miR-523-3p","MIMAT0002840","Homo sapiens","miR-523-3p"
"3971","hsa-miR-518f-5p","MIMAT0002841","Homo sapiens","miR-518f-5p"
"3972","hsa-miR-518f-3p","MIMAT0002842","Homo sapiens","miR-518f-3p"
"3973","hsa-miR-520b","MIMAT0002843","Homo sapiens","miR-520b"
"3974","hsa-miR-518b","MIMAT0002844","Homo sapiens","miR-518b"
"3975","hsa-miR-526a","MIMAT0002845","Homo sapiens","miR-526a"
"3976","hsa-miR-520c-5p","MIMAT0005455","Homo sapiens","miR-520c-5p"
"3977","hsa-miR-520c-3p","MIMAT0002846","Homo sapiens","miR-520c-3p"
"3978","hsa-miR-518c-5p","MIMAT0002847","Homo sapiens","miR-518c-5p"
"3979","hsa-miR-518c-3p","MIMAT0002848","Homo sapiens","miR-518c-3p"
"3980","hsa-miR-524-5p","MIMAT0002849","Homo sapiens","miR-524-5p"
"3981","hsa-miR-524-3p","MIMAT0002850","Homo sapiens","miR-524-3p"
"3982","hsa-miR-517-5p","MIMAT0002851","Homo sapiens","miR-517-5p"
"3983","hsa-miR-517a-3p","MIMAT0002852","Homo sapiens","miR-517a-3p"
"3984","hsa-miR-519d-5p","MIMAT0026610","Homo sapiens","miR-519d-5p"
"3985","hsa-miR-519d-3p","MIMAT0002853","Homo sapiens","miR-519d-3p"
"3986","hsa-miR-521","MIMAT0002854","Homo sapiens","miR-521"
"3987","hsa-miR-520d-5p","MIMAT0002855","Homo sapiens","miR-520d-5p"
"3988","hsa-miR-520d-3p","MIMAT0002856","Homo sapiens","miR-520d-3p"
"3989","hsa-miR-517b-3p","MIMAT0002857","Homo sapiens","miR-517b-3p"
"3990","hsa-miR-520g-5p","MIMAT0026611","Homo sapiens","miR-520g-5p"
"3991","hsa-miR-520g-3p","MIMAT0002858","Homo sapiens","miR-520g-3p"
"3992","hsa-miR-516b-5p","MIMAT0002859","Homo sapiens","miR-516b-5p"
"3993","hsa-miR-516b-3p","MIMAT0002860","Homo sapiens","miR-516b-3p"
"3994","hsa-miR-518e-5p","MIMAT0005450","Homo sapiens","miR-518e-5p"
"3995","hsa-miR-518e-3p","MIMAT0002861","Homo sapiens","miR-518e-3p"
"3996","hsa-miR-518a-5p","MIMAT0005457","Homo sapiens","miR-518a-5p"
"3997","hsa-miR-518a-3p","MIMAT0002863","Homo sapiens","miR-518a-3p"
"3998","hsa-miR-518d-5p","MIMAT0005456","Homo sapiens","miR-518d-5p"
"3999","hsa-miR-518d-3p","MIMAT0002864","Homo sapiens","miR-518d-3p"
"4000","hsa-miR-517c-3p","MIMAT0002866","Homo sapiens","miR-517c-3p"
"4001","hsa-miR-520h","MIMAT0002867","Homo sapiens","miR-520h"
"4002","hsa-miR-522-5p","MIMAT0005451","Homo sapiens","miR-522-5p"
"4003","hsa-miR-522-3p","MIMAT0002868","Homo sapiens","miR-522-3p"
"4004","hsa-miR-519a-5p","MIMAT0005452","Homo sapiens","miR-519a-5p"
"4005","hsa-miR-519a-3p","MIMAT0002869","Homo sapiens","miR-519a-3p"
"4006","hsa-miR-527","MIMAT0002862","Homo sapiens","miR-527"
"4007","hsa-miR-516a-5p","MIMAT0004770","Homo sapiens","miR-516a-5p"
"4008","hsa-miR-516a-3p","MIMAT0006778","Homo sapiens","miR-516a-3p"
"4009","hsa-miR-499a-5p","MIMAT0002870","Homo sapiens","miR-499a-5p"
"4010","hsa-miR-499a-3p","MIMAT0004772","Homo sapiens","miR-499a-3p"
"4011","hsa-miR-500a-5p","MIMAT0004773","Homo sapiens","miR-500a-5p"
"4012","hsa-miR-500a-3p","MIMAT0002871","Homo sapiens","miR-500a-3p"
"4013","hsa-miR-501-5p","MIMAT0002872","Homo sapiens","miR-501-5p"
"4014","hsa-miR-501-3p","MIMAT0004774","Homo sapiens","miR-501-3p"
"4015","hsa-miR-502-5p","MIMAT0002873","Homo sapiens","miR-502-5p"
"4016","hsa-miR-502-3p","MIMAT0004775","Homo sapiens","miR-502-3p"
"4017","hsa-miR-450a-2-3p","MIMAT0031074","Homo sapiens","miR-450a-2-3p"
"4018","hsa-miR-503-5p","MIMAT0002874","Homo sapiens","miR-503-5p"
"4019","hsa-miR-503-3p","MIMAT0022925","Homo sapiens","miR-503-3p"
"4020","hsa-miR-504-5p","MIMAT0002875","Homo sapiens","miR-504-5p"
"4021","hsa-miR-504-3p","MIMAT0026612","Homo sapiens","miR-504-3p"
"4022","hsa-miR-505-5p","MIMAT0004776","Homo sapiens","miR-505-5p"
"4023","hsa-miR-505-3p","MIMAT0002876","Homo sapiens","miR-505-3p"
"4024","hsa-miR-513a-5p","MIMAT0002877","Homo sapiens","miR-513a-5p"
"4025","hsa-miR-513a-3p","MIMAT0004777","Homo sapiens","miR-513a-3p"
"4026","hsa-miR-506-5p","MIMAT0022701","Homo sapiens","miR-506-5p"
"4027","hsa-miR-506-3p","MIMAT0002878","Homo sapiens","miR-506-3p"
"4028","hsa-miR-507","MIMAT0002879","Homo sapiens","miR-507"
"4029","hsa-miR-508-5p","MIMAT0004778","Homo sapiens","miR-508-5p"
"4030","hsa-miR-508-3p","MIMAT0002880","Homo sapiens","miR-508-3p"
"4031","hsa-miR-509-5p","MIMAT0004779","Homo sapiens","miR-509-5p"
"4032","hsa-miR-509-3p","MIMAT0002881","Homo sapiens","miR-509-3p"
"4033","hsa-miR-510-5p","MIMAT0002882","Homo sapiens","miR-510-5p"
"4034","hsa-miR-510-3p","MIMAT0026613","Homo sapiens","miR-510-3p"
"4035","hsa-miR-514a-5p","MIMAT0022702","Homo sapiens","miR-514a-5p"
"4036","hsa-miR-514a-3p","MIMAT0002883","Homo sapiens","miR-514a-3p"
"4043","hsa-miR-532-5p","MIMAT0002888","Homo sapiens","miR-532-5p"
"4044","hsa-miR-532-3p","MIMAT0004780","Homo sapiens","miR-532-3p"
"4324","hsa-miR-455-5p","MIMAT0003150","Homo sapiens","miR-455-5p"
"4325","hsa-miR-455-3p","MIMAT0004784","Homo sapiens","miR-455-3p"
"4326","hsa-miR-539-5p","MIMAT0003163","Homo sapiens","miR-539-5p"
"4327","hsa-miR-539-3p","MIMAT0022705","Homo sapiens","miR-539-3p"
"4328","hsa-miR-544a","MIMAT0003164","Homo sapiens","miR-544a"
"4329","hsa-miR-545-5p","MIMAT0004785","Homo sapiens","miR-545-5p"
"4330","hsa-miR-545-3p","MIMAT0003165","Homo sapiens","miR-545-3p"
"4354","hsa-miR-376a-2-5p","MIMAT0022928","Homo sapiens","miR-376a-2-5p"
"4355","hsa-miR-487b-5p","MIMAT0026614","Homo sapiens","miR-487b-5p"
"4356","hsa-miR-487b-3p","MIMAT0003180","Homo sapiens","miR-487b-3p"
"4406","hsa-miR-551a","MIMAT0003214","Homo sapiens","miR-551a"
"4407","hsa-miR-552-5p","MIMAT0026615","Homo sapiens","miR-552-5p"
"4408","hsa-miR-552-3p","MIMAT0003215","Homo sapiens","miR-552-3p"
"4409","hsa-miR-553","MIMAT0003216","Homo sapiens","miR-553"
"4410","hsa-miR-554","MIMAT0003217","Homo sapiens","miR-554"
"4411","hsa-miR-92b-5p","MIMAT0004792","Homo sapiens","miR-92b-5p"
"4412","hsa-miR-92b-3p","MIMAT0003218","Homo sapiens","miR-92b-3p"
"4413","hsa-miR-555","MIMAT0003219","Homo sapiens","miR-555"
"4414","hsa-miR-556-5p","MIMAT0003220","Homo sapiens","miR-556-5p"
"4415","hsa-miR-556-3p","MIMAT0004793","Homo sapiens","miR-556-3p"
"4416","hsa-miR-557","MIMAT0003221","Homo sapiens","miR-557"
"4417","hsa-miR-558","MIMAT0003222","Homo sapiens","miR-558"
"4418","hsa-miR-559","MIMAT0003223","Homo sapiens","miR-559"
"4419","hsa-miR-561-5p","MIMAT0022706","Homo sapiens","miR-561-5p"
"4420","hsa-miR-561-3p","MIMAT0003225","Homo sapiens","miR-561-3p"
"4421","hsa-miR-562","MIMAT0003226","Homo sapiens","miR-562"
"4422","hsa-miR-563","MIMAT0003227","Homo sapiens","miR-563"
"4423","hsa-miR-564","MIMAT0003228","Homo sapiens","miR-564"
"4424","hsa-miR-566","MIMAT0003230","Homo sapiens","miR-566"
"4425","hsa-miR-567","MIMAT0003231","Homo sapiens","miR-567"
"4426","hsa-miR-568","MIMAT0003232","Homo sapiens","miR-568"
"4427","hsa-miR-551b-5p","MIMAT0004794","Homo sapiens","miR-551b-5p"
"4428","hsa-miR-551b-3p","MIMAT0003233","Homo sapiens","miR-551b-3p"
"4429","hsa-miR-569","MIMAT0003234","Homo sapiens","miR-569"
"4430","hsa-miR-570-5p","MIMAT0022707","Homo sapiens","miR-570-5p"
"4431","hsa-miR-570-3p","MIMAT0003235","Homo sapiens","miR-570-3p"
"4432","hsa-miR-571","MIMAT0003236","Homo sapiens","miR-571"
"4433","hsa-miR-572","MIMAT0003237","Homo sapiens","miR-572"
"4434","hsa-miR-573","MIMAT0003238","Homo sapiens","miR-573"
"4435","hsa-miR-574-5p","MIMAT0004795","Homo sapiens","miR-574-5p"
"4436","hsa-miR-574-3p","MIMAT0003239","Homo sapiens","miR-574-3p"
"4437","hsa-miR-575","MIMAT0003240","Homo sapiens","miR-575"
"4438","hsa-miR-576-5p","MIMAT0003241","Homo sapiens","miR-576-5p"
"4439","hsa-miR-576-3p","MIMAT0004796","Homo sapiens","miR-576-3p"
"4440","hsa-miR-577","MIMAT0003242","Homo sapiens","miR-577"
"4441","hsa-miR-578","MIMAT0003243","Homo sapiens","miR-578"
"4442","hsa-miR-579-5p","MIMAT0026616","Homo sapiens","miR-579-5p"
"4443","hsa-miR-579-3p","MIMAT0003244","Homo sapiens","miR-579-3p"
"4444","hsa-miR-580-5p","MIMAT0026617","Homo sapiens","miR-580-5p"
"4445","hsa-miR-580-3p","MIMAT0003245","Homo sapiens","miR-580-3p"
"4446","hsa-miR-581","MIMAT0003246","Homo sapiens","miR-581"
"4447","hsa-miR-582-5p","MIMAT0003247","Homo sapiens","miR-582-5p"
"4448","hsa-miR-582-3p","MIMAT0004797","Homo sapiens","miR-582-3p"
"4449","hsa-miR-583","MIMAT0003248","Homo sapiens","miR-583"
"4450","hsa-miR-584-5p","MIMAT0003249","Homo sapiens","miR-584-5p"
"4451","hsa-miR-584-3p","MIMAT0022708","Homo sapiens","miR-584-3p"
"4452","hsa-miR-585-5p","MIMAT0026618","Homo sapiens","miR-585-5p"
"4453","hsa-miR-585-3p","MIMAT0003250","Homo sapiens","miR-585-3p"
"4454","hsa-miR-548a-3p","MIMAT0003251","Homo sapiens","miR-548a-3p"
"4455","hsa-miR-586","MIMAT0003252","Homo sapiens","miR-586"
"4456","hsa-miR-587","MIMAT0003253","Homo sapiens","miR-587"
"4457","hsa-miR-548b-5p","MIMAT0004798","Homo sapiens","miR-548b-5p"
"4458","hsa-miR-548b-3p","MIMAT0003254","Homo sapiens","miR-548b-3p"
"4459","hsa-miR-588","MIMAT0003255","Homo sapiens","miR-588"
"4460","hsa-miR-589-5p","MIMAT0004799","Homo sapiens","miR-589-5p"
"4461","hsa-miR-589-3p","MIMAT0003256","Homo sapiens","miR-589-3p"
"4462","hsa-miR-550a-5p","MIMAT0004800","Homo sapiens","miR-550a-5p"
"4463","hsa-miR-550a-3p","MIMAT0003257","Homo sapiens","miR-550a-3p"
"4464","hsa-miR-590-5p","MIMAT0003258","Homo sapiens","miR-590-5p"
"4465","hsa-miR-590-3p","MIMAT0004801","Homo sapiens","miR-590-3p"
"4466","hsa-miR-591","MIMAT0003259","Homo sapiens","miR-591"
"4467","hsa-miR-592","MIMAT0003260","Homo sapiens","miR-592"
"4468","hsa-miR-593-5p","MIMAT0003261","Homo sapiens","miR-593-5p"
"4469","hsa-miR-593-3p","MIMAT0004802","Homo sapiens","miR-593-3p"
"4470","hsa-miR-595","MIMAT0003263","Homo sapiens","miR-595"
"4471","hsa-miR-596","MIMAT0003264","Homo sapiens","miR-596"
"4472","hsa-miR-597-5p","MIMAT0003265","Homo sapiens","miR-597-5p"
"4473","hsa-miR-597-3p","MIMAT0026619","Homo sapiens","miR-597-3p"
"4474","hsa-miR-598-5p","MIMAT0026620","Homo sapiens","miR-598-5p"
"4475","hsa-miR-598-3p","MIMAT0003266","Homo sapiens","miR-598-3p"
"4476","hsa-miR-599","MIMAT0003267","Homo sapiens","miR-599"
"4477","hsa-miR-548a-5p","MIMAT0004803","Homo sapiens","miR-548a-5p"
"4478","hsa-miR-600","MIMAT0003268","Homo sapiens","miR-600"
"4479","hsa-miR-601","MIMAT0003269","Homo sapiens","miR-601"
"4480","hsa-miR-602","MIMAT0003270","Homo sapiens","miR-602"
"4481","hsa-miR-603","MIMAT0003271","Homo sapiens","miR-603"
"4482","hsa-miR-604","MIMAT0003272","Homo sapiens","miR-604"
"4483","hsa-miR-605-5p","MIMAT0003273","Homo sapiens","miR-605-5p"
"4484","hsa-miR-605-3p","MIMAT0026621","Homo sapiens","miR-605-3p"
"4485","hsa-miR-606","MIMAT0003274","Homo sapiens","miR-606"
"4486","hsa-miR-607","MIMAT0003275","Homo sapiens","miR-607"
"4487","hsa-miR-608","MIMAT0003276","Homo sapiens","miR-608"
"4488","hsa-miR-609","MIMAT0003277","Homo sapiens","miR-609"
"4489","hsa-miR-610","MIMAT0003278","Homo sapiens","miR-610"
"4490","hsa-miR-611","MIMAT0003279","Homo sapiens","miR-611"
"4491","hsa-miR-612","MIMAT0003280","Homo sapiens","miR-612"
"4492","hsa-miR-613","MIMAT0003281","Homo sapiens","miR-613"
"4493","hsa-miR-614","MIMAT0003282","Homo sapiens","miR-614"
"4494","hsa-miR-615-5p","MIMAT0004804","Homo sapiens","miR-615-5p"
"4495","hsa-miR-615-3p","MIMAT0003283","Homo sapiens","miR-615-3p"
"4496","hsa-miR-616-5p","MIMAT0003284","Homo sapiens","miR-616-5p"
"4497","hsa-miR-616-3p","MIMAT0004805","Homo sapiens","miR-616-3p"
"4498","hsa-miR-548c-5p","MIMAT0004806","Homo sapiens","miR-548c-5p"
"4499","hsa-miR-548c-3p","MIMAT0003285","Homo sapiens","miR-548c-3p"
"4500","hsa-miR-617","MIMAT0003286","Homo sapiens","miR-617"
"4501","hsa-miR-618","MIMAT0003287","Homo sapiens","miR-618"
"4502","hsa-miR-619-5p","MIMAT0026622","Homo sapiens","miR-619-5p"
"4503","hsa-miR-619-3p","MIMAT0003288","Homo sapiens","miR-619-3p"
"4504","hsa-miR-620","MIMAT0003289","Homo sapiens","miR-620"
"4505","hsa-miR-621","MIMAT0003290","Homo sapiens","miR-621"
"4506","hsa-miR-622","MIMAT0003291","Homo sapiens","miR-622"
"4507","hsa-miR-623","MIMAT0003292","Homo sapiens","miR-623"
"4508","hsa-miR-624-5p","MIMAT0003293","Homo sapiens","miR-624-5p"
"4509","hsa-miR-624-3p","MIMAT0004807","Homo sapiens","miR-624-3p"
"4510","hsa-miR-625-5p","MIMAT0003294","Homo sapiens","miR-625-5p"
"4511","hsa-miR-625-3p","MIMAT0004808","Homo sapiens","miR-625-3p"
"4512","hsa-miR-626","MIMAT0003295","Homo sapiens","miR-626"
"4513","hsa-miR-627-5p","MIMAT0003296","Homo sapiens","miR-627-5p"
"4514","hsa-miR-627-3p","MIMAT0026623","Homo sapiens","miR-627-3p"
"4515","hsa-miR-628-5p","MIMAT0004809","Homo sapiens","miR-628-5p"
"4516","hsa-miR-628-3p","MIMAT0003297","Homo sapiens","miR-628-3p"
"4517","hsa-miR-629-5p","MIMAT0004810","Homo sapiens","miR-629-5p"
"4518","hsa-miR-629-3p","MIMAT0003298","Homo sapiens","miR-629-3p"
"4519","hsa-miR-630","MIMAT0003299","Homo sapiens","miR-630"
"4520","hsa-miR-631","MIMAT0003300","Homo sapiens","miR-631"
"4521","hsa-miR-33b-5p","MIMAT0003301","Homo sapiens","miR-33b-5p"
"4522","hsa-miR-33b-3p","MIMAT0004811","Homo sapiens","miR-33b-3p"
"4523","hsa-miR-632","MIMAT0003302","Homo sapiens","miR-632"
"4524","hsa-miR-633","MIMAT0003303","Homo sapiens","miR-633"
"4525","hsa-miR-634","MIMAT0003304","Homo sapiens","miR-634"
